price,no_of_bedroom,no_of_bathroom,property_size,property_type,district,price_per_square
420000.0,2.0,2.0,952.0,Apartment,Kuala Lumpur,441.1764705882353
498000.0,3.0,2.0,1095.0,Apartment,Kuala Lumpur,454.7945205479452
420000.0,2.0,2.0,952.0,Apartment,Kuala Lumpur,441.1764705882353
419999.0,3.0,2.0,950.0,Apartment,Kuala Lumpur,442.1042105263158
288000.0,3.0,2.0,850.0,Apartment,Others,338.8235294117647
398000.0,3.0,2.0,1090.0,Apartment,Others,365.13761467889907
398000.0,3.0,2.0,1090.0,Apartment,Others,365.13761467889907
288000.0,3.0,2.0,850.0,Apartment,Kuala Lumpur,338.8235294117647
280000.0,3.0,2.0,818.0,Apartment,Kuala Lumpur,342.29828850855745
280000.0,3.0,2.0,852.0,Apartment,Kuala Lumpur,328.63849765258215
235000.0,3.0,2.0,930.0,Apartment,Kuala Lumpur,252.68817204301075
370000.0,2.0,2.0,950.0,Apartment,Kuala Lumpur,389.4736842105263
380000.0,2.0,2.0,970.0,Apartment,Kuala Lumpur,391.7525773195876
388000.0,3.0,3.0,1146.0,Apartment,Kuala Lumpur,338.56893542757416
330000.0,2.0,2.0,990.0,Apartment,Kuala Lumpur,333.3333333333333
360000.0,2.0,2.0,998.0,Apartment,Kuala Lumpur,360.7214428857715
250000.0,3.0,2.0,785.0,Apartment,Kuala Lumpur,318.47133757961785
275000.0,3.0,2.0,780.0,Apartment,Kuala Lumpur,352.56410256410254
280000.0,3.0,2.0,780.0,Apartment,Kuala Lumpur,358.97435897435895
288000.0,3.0,2.0,780.0,Apartment,Kuala Lumpur,369.2307692307692
280000.0,3.0,2.0,780.0,Apartment,Kuala Lumpur,358.97435897435895
288000.0,3.0,2.0,780.0,Apartment,Kuala Lumpur,369.2307692307692
270000.0,3.0,2.0,780.0,Apartment,Kuala Lumpur,346.15384615384613
270000.0,3.0,2.0,780.0,Apartment,Kuala Lumpur,346.15384615384613
288000.0,3.0,2.0,780.0,Apartment,Kuala Lumpur,369.2307692307692
255000.0,3.0,2.0,780.0,Apartment,Kuala Lumpur,326.9230769230769
270000.0,3.0,2.0,785.0,Apartment,Kuala Lumpur,343.9490445859873
445888.0,3.0,2.0,820.0,Apartment,Others,543.7658536585366
275000.0,3.0,2.0,780.0,Apartment,Ampang,352.56410256410254
280000.0,3.0,2.0,789.0,Apartment,Ampang,354.87959442332067
289000.0,3.0,2.0,786.0,Apartment,Ampang,367.68447837150126
260000.0,3.0,2.0,782.0,Apartment,Ampang,332.48081841432224
299700.0,3.0,2.0,980.0,Apartment,Kepong,305.81632653061223
298000.0,3.0,2.0,947.0,Apartment,Kepong,314.6779303062302
299700.0,3.0,2.0,980.0,Apartment,Kepong,305.81632653061223
299700.0,3.0,2.0,980.0,Apartment,Kepong,305.81632653061223
178200.0,3.0,2.0,750.0,Apartment,Kuala Lumpur,237.6
309000.0,3.0,2.0,850.0,Apartment,Kuala Lumpur,363.52941176470586
328000.0,3.0,2.0,830.0,Apartment,Kuala Lumpur,395.1807228915663
348000.0,3.0,2.0,830.0,Apartment,Kuala Lumpur,419.27710843373495
140000.0,3.0,2.0,700.0,Apartment,Kuala Lumpur,200.0
199000.0,3.0,2.0,650.0,Apartment,Kuala Lumpur,306.15384615384613
290000.0,3.0,2.0,1044.0,Apartment,Kuala Lumpur,277.77777777777777
170000.0,3.0,2.0,750.0,Apartment,Others,226.66666666666666
269000.0,3.0,2.0,830.0,Apartment,Damansara,324.09638554216866
270000.0,3.0,2.0,830.0,Apartment,Damansara,325.30120481927713
270000.0,3.0,2.0,985.0,Apartment,Kuala Lumpur,274.11167512690355
330000.0,3.0,2.0,960.0,Apartment,Others,343.75
290000.0,3.0,2.0,820.0,Apartment,Kuala Lumpur,353.6585365853659
285000.0,3.0,2.0,820.0,Apartment,Kuala Lumpur,347.5609756097561
290000.0,3.0,2.0,820.0,Apartment,Kuala Lumpur,353.6585365853659
299000.0,3.0,2.0,820.0,Apartment,Kuala Lumpur,364.6341463414634
308000.0,3.0,2.0,867.0,Apartment,Kuala Lumpur,355.2479815455594
318000.0,3.0,2.0,871.0,Apartment,Kuala Lumpur,365.09758897818597
315000.0,3.0,2.0,976.0,Apartment,Others,322.74590163934425
250000.0,2.0,1.0,600.0,Apartment,Kuala Lumpur,416.6666666666667
265000.0,2.0,1.0,600.0,Apartment,Kuala Lumpur,441.6666666666667
295000.0,2.0,1.0,606.0,Apartment,Kuala Lumpur,486.7986798679868
